Rank,Country,Region,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia ,Year,,,,,
124,Kenya,Sub-Saharan Africa,4.410,0.493,1.048,0.454,0.504,0.352,0.055,1.503,2018,,,,,
125,Zambia,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221,0.082,1.667,2018,,,,,
126,Mauritania,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.905,2018,,,,,
127,Ethiopia,Sub-Saharan Africa,4.350,0.308,0.950,0.391,0.452,0.220,0.146,1.884,2018,,,,,
128,Georgia,Commonwealth of Independent States,4.340,0.853,0.592,0.643,0.375,0.038,0.215,1.624,2018,,,,,
129,Armenia,Commonwealth of Independent States,4.321,0.816,0.990,0.666,0.260,0.077,0.028,1.483,2018,,,,,
130,Myanmar,Southeast Asia,4.308,0.682,1.174,0.429,0.580,0.598,0.178,0.667,2018,,,,,
131,Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.181,0.060,2.553,2018,,,,,
132,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2.274,2018,,,,,
133,India,South Asia,4.190,0.721,0.747,0.485,0.539,0.172,0.093,1.432,2018,,,,,
134,Niger,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.390,0.175,0.099,2.283,2018,,,,,
135,Uganda,Sub-Saharan Africa,4.161,0.322,1.090,0.237,0.450,0.259,0.061,1.742,2018,,,,,
136,Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.240,0.440,0.163,0.067,2.481,2018,,,,,
137,Sudan,Sub-Saharan Africa,4.139,0.605,1.240,0.312,0.016,0.134,0.082,1.750,2018,,,,,
138,Ukraine,Commonwealth of Independent States,4.103,0.793,1.413,0.609,0.163,0.187,0.011,0.927,2018,,,,,
139,Togo,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2.319,2018,,,,,
140,Guinea,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.185,0.094,1.943,2018,,,,,
141,Lesotho,Sub-Saharan Africa,3.808,0.472,1.215,0.079,0.423,0.116,0.112,1.392,2018,,,,,
142,Angola,Sub-Saharan Africa,3.795,0.730,1.125,0.269,0.000,0.079,0.061,1.531,2018,,,,,
143,Madagascar,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.778,2018,,,,,
144,Zimbabwe,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.132,0.099,1.356,2018,,,,,
145,Afghanistan,South Asia,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.196,2018,,,,,
146,Botswana,Sub-Saharan Africa,3.590,1.017,1.174,0.417,0.557,0.042,0.092,0.292,2018,,,,,
147,Malawi,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.210,0.080,1.732,2018,,,,,
148,Haiti,Latin America and Caribbean,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.744,2018,,,,,
149,Liberia,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.206,0.030,1.640,2018,,,,,
150,Syria,Middle East and North Africa,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.244,2018,,,,,
151,Rwanda,Sub-Saharan Africa,3.408,0.332,0.896,0.400,0.636,0.200,0.444,0.500,2018,,,,,
152,Yemen,Middle East and North Africa,3.355,0.442,1.073,0.343,0.244,0.083,0.064,1.106,2018,,,,,
153,Tanzania,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.270,0.097,0.628,2018,,,,,
154,South Sudan,Sub-Saharan Africa,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.691,2018,,,,,
155,Central African Republic,Sub-Saharan Africa,3.083,0.024,0.000,0.010,0.305,0.218,0.038,2.487,2018,,,,,
156,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.752,2018,,,,,
